test-491680	How successful is Vashikaran?
test-491833	How can I improve my essay writing skill?
test-491834	What are the best colleges for master in fashion management?
test-491835	What are the top institutes for fashion management in india?
test-491836	What is a procedure to learn English-speaking?
test-491837	How can I learn fluent in English?
test-491838	Which is better Toppr or Meritnation?
test-491839	Did Merit-Nation (website) really helped you?
test-491840	What is the difference between primary secondary and tie beam and where are located in building and how can we identify them and what are their purpose?
test-491841	How do we distinguish between a simply supported beam or a fixed beam in a building?
test-491842	How can one lose belly fat without exercise?
test-491843	What's the best way to lose belly fat: diet or exercise?
test-491844	My period is late by 12 days, but my pregnancy test came back negative. Could I be pregnant?
test-491845	My period is 17 days late but the pregnancy test was negative. Could I be pregnant?
test-491846	When Zuk Z1 will get OTA update?
test-491847	Why does not Lenovo Zuk Z1 touch work after changing the DPI?
test-491848	Will outsourcing/ offshoring eventually lead to the demise of IT/software jobs as a good career?
test-491849	How are U.S. computer programmers losing jobs to offshore outsourcing?
test-491850	Why don't international credit card transactions require password/OTP authentication?
test-491851	Passwords: Why don't I need to enter my PIN when I use a credit card in the US?
test-491852	How can I ask a girl out for a cup of coffee?
test-491853	How do I ask a girl out at work?
test-491854	Does apple icare fix camera issues?
test-491855	"What does ""non compassionate"" mean? What are some examples?"
test-491856	What are benefits of outsourcing IT?
test-491857	What are the benefits of Outsourcing IT projects?
test-491858	What is the best one of hack online game?
test-491859	How does one hack any game on iOS without rooting or completing a survey online?
test-491860	What is the procedure to register a company in India?
test-491861	What is the procedure to register an IT company in India?
test-491862	Is there any permanent treatment of hypothyroidism?
test-491863	Is there any permanent treatment for schizophrenia?
test-491864	How do I get tire data?
test-491865	How can I get tired?
test-491866	What is the best health insurance Philippines?
test-491867	What is the best health insurance without a job?
test-491868	How do astronauts pass their idle time in space?
test-491869	What do astronauts do to pass time in space?
test-491870	After working for 5 years in Tata Elxsi for embedded domain, what will be my salary?
test-491871	Is Tata Elxsi 5 days a week? And can we get mechanical core job experience in Tata Elxsi?
test-491872	Are those shingles? What are those?
test-491873	Are shingles contagious?
test-491874	Could God make a taco so terrible even He could not eat it?
test-491875	Can god make a rock so heavy that he couldn’t lift it?
test-491876	What does organic compounds include?
test-491877	What do all organic compounds contain?
test-491878	What are some good colleges for B.sc CS in North India?
test-491879	What are some of the best engineering colleges in India for CS?
test-491880	How do I get organic traffic to my blogger blog?
test-491881	What is the best way to get traffic on your blog? SEO, SMM, PR, etc?
test-491882	How much money per hour do Uber drivers make in London, ON? What's the most a person can reasonably make per month?
test-491883	How much money per hour do Uber drivers make in Tijuana? What's the most a person can reasonably make per month?
test-491884	What is the demand for French-Vietnamese simultaneous interpreters in the states? And how much do they typically earn annually?
test-491885	What is the demand for Chinese-English simultaneous interpreters in the states? And how much do they typically earn annually?
test-491886	What are some tips on the things that are important for SBI PO interviews?
test-491887	What are the SBI PO interview questions?
test-491888	Is Fairy Tail worth watching?
test-491889	Who is Lisanna in Fairy Tail?
test-491890	Can I get my old friends off snapchat back?
test-491891	How can I get my friend to add me back on Snapchat?
test-491892	What are some things new employees should know going into their first day at GSI Group?
test-491893	What are some things new employees should know going into their first day at Group Strategies?
test-491894	Who is having a better life?
test-491895	What can I do to have a better life?
test-491896	Can Taiwan reunite peacefully with China?
test-491897	If the leaders of Mainland China and Taiwan successfully negotiate a permanent peace treaty, would they be in the running to share the Nobel Peace Prize?
test-491898	Which is better intel i5 (6th gen) or i7 (5th gen)?
test-491899	What's better, the MacBook Pro second gen i5 or the Windows 5th gen i3/i5?
test-491900	How much money does UFC pay Joe Rogan as salary? Does he get any other non-monetary perks from the UFC?
test-491901	How is a UFC fighter different from a boxer?
test-491902	Which are the best dancing bollywood songs for girls (2015-2016)?
test-491903	What are some bollywood female songs for dance?
test-491904	What is KMS-R@1n.exe? Does it affect my computer?
test-491905	What is Crofx.exe?
test-491906	What is the chemical formula of cement?
test-491907	What is the chemical formula of sand?
test-491908	I have so many earphones with only one earphone working. How can I reuse/repair them?
test-491909	What do I do with my earphone having one faulty earpiece?
test-491910	"Why is ""Japan's Marine Day"" unknown in Iceland?"
test-491911	"Why is ""Japan's Marine Day"" unknown in Haiti?"
test-491912	Why do we lose our natural curiosity and passion for learning and exploring the world as we grow older?
test-491913	How can I learn critical thinking as an older adult?
test-491914	What is the best Article spinning software for a Mac?
test-491915	How can I write the perfect review article?
test-491916	Will the internet actually shut down for 24 hours in 2017?
test-491917	If you had 24 hours to make $10,000, and all you had was access to the Internet and your computer, How would you do it?
test-491918	If I block a person on iphone 6 and later unblock them, will I receive the messages that were sent to me while the sender was blocked?
test-491919	My messages and message history on my iPhone 6 suddenly disappeared after I restarted the phone. Is there any way I can get them back?
test-491920	What are the benefits of composite risk management?
test-491921	What are the principles of composite risk management?
test-491922	What is worse for you: marijuana or nicotine? Why?
test-491923	Did you smoke weed in high school?
test-491924	Why salt and pepper?
test-491925	Why does every restaurant have salt and black pepper shakers, not salt and cumin shakers or salt and turmeric shakers or salt and paprika shakers?
test-491926	What would be a good career switch for an accountant/CPA?
test-491927	How can I change my career from an CPA Accountant to a Business Analyst?
test-491928	Is it wise to work in oil and gas industry now?
test-491929	What is it like to be a Geophysicist working in the Oil and Gas Industry?
test-491930	Why can't I follow an anonymous person on Quora?
test-491931	How anonymous is an anonymous post on Quora?
test-491932	How do you overcome the need for society's approval?
test-491933	Why do we need society?
test-491934	What kind of pretzel is this? (I posted a picture below)
test-491935	What are the long term effects of taking antihistamines daily?
test-491936	How should I study for my CAT examination?
test-491937	What should be my approach and CAT percentile to get into IIMs?
test-491938	Does java inheritance only inherit methods ?
test-491939	Why does Java not support multiple inheritance?
test-491940	What is your favorite song of music director Sachin-Jigar and why?
test-491941	Which is the best song of music director Sachin-Jigar and why?
test-491942	What will be the effects of demonitizing 500 and 1000 rupees notes in Indian economy?
test-491943	How does banning 500 and 1000 INR notes help Indian economy?
test-491944	"How does a ""stupid question"" get a good answer on Quora?"
test-491945	What if I post my resume on Quora as an answer to this question? Will I get a good job?
test-491946	Who is the best MBA consultant for MBA counselling for USA?
test-491947	The most saddest but beautiful songs in the whole world?
test-491948	What is the ZIP code of India?
test-491949	What is the postal code of Houston, TX?
test-491950	What are two reason you are voting for Trump?
test-491951	What's an intelligent reason for voting for Donald Trump for President?
test-491952	Who is Lionel Messi sponsored by?
test-491953	Who is Lionel Messi?
test-491954	How can I write telegraphic sentences?
test-491955	How do I write an emphatic sentence?
test-491956	Job opportunities after doing systems engineering and engineering management in South Westphalia university in Germany.?
test-491957	Which is better: intel i5 or amd fx-8370 for gaming at high end?
test-491958	What are some vivid memories of your childhood?
test-491959	How can I recall forgotten early childhood memories?
test-491960	What are the advantages of participating in MUN?
test-491961	What is it like to participate (or being part of) in MUN?
test-491962	"Is a ""laptop"" or a ""computer"" a machine?"
test-491963	Which laptop computer is the easiest to repair?
test-491964	What is the most popular medical ecommerce site?
test-491965	What is the most popular ecommerce sites in your country?
test-491966	"What is the English translation for the lyrics of the Punjabi song ""Ishqan De Lekhe"" by Sajjan Adeeb?"
test-491967	Song Lyrics: What is a Spanish song with an English chorus?
test-491968	Is Arvind Kejriwal the best ever CM of Delhi?
test-491969	Will Delhi vote  for Arvind Kejriwal as CM?
test-491970	What is the language of India?
test-491971	What is the national language of India?
test-491972	"Does ""liking"" a girl's photo or status on Facebook make you any more attractive to that girl?"
test-491973	Do girls like to make out?
test-491974	Why do we feel tired after we sleep for a really long time, instead of waking up fresh?
test-491975	Fitbit says I'm restless on average of 25 times a night and I always wake up tired no matter how much I sleep. What does this mean for sleep quality?
test-491976	What does it take to start a school in Telangana?
test-491977	Do tech mahindra's freshers get personal laptop on joining?
test-491978	What books is Game of Thrones Season 4 based off of?
test-491979	On which book is Game of Thrones Season 5 based on?
test-491980	Does the iPhone 5s support 4G in India?
test-491981	I am using the UAE version of the iPhone 6. Does this mobile support the 4G network in India?
test-491982	"Why is ""Marine Day"" unknown in Britain?"
test-491983	"Why is ""Japan's Marine Day"" unknown in The Bahamas?"
test-491984	How can tax be added to a price?
test-491985	Why isn't tax just added to the price?
test-491986	What effect will the rupee 500 and 1000 currency note ban have on the Indian economy?
test-491987	How will India be affected now that 500 and 1000 rupee notes have been banned?
test-491988	What would be the impact on India if Trump wins?
test-491989	What does a Donald Trump presidency mean for the US - India relationship?
test-491990	Why does snow melt even when below freezing temperature?
test-491991	At what temperature does vodka freeze?
test-491992	What are the best books on photography?
test-491993	What is the most important thing that you have ever learned from a book?
test-491994	What advice would you give to an incoming freshman at Berkeley?
test-491995	What advice would you give to an incoming freshman at Harvard?
test-491996	Can you recommend a TV or Monitor mount, that can be mounted BEHIND the viewer with the screen on a movable arm in front of the viewer?
test-491997	Is President Obama attempting to usurp President-Elect Trump?
test-491998	Why was Root killed off in Person Of Interest?
test-491999	What drives Root's death in Person of Interest?
test-492000	How can I get rid of acne on the sides of my chin?
test-492001	How do I get rid of chronic acne on my cheeks and chin?
test-492002	What is an angel investment?
test-492003	What is angel investing?
test-492004	What is the difference between CNY and CNH currencies?
test-492005	What is the difference between a Reserve currency and a Trade currency?
test-492006	What is the situation in Pakistan after the uri attack?
test-492007	What would cause a serial killer who comes from a normal loving family to become a murderer?
test-492008	Why do SOME intellectual Democrats think Socialism is a fiscally positive Economic plan when it's SO proven internationally to be catastrophic?
test-492009	Why do people kill orangutans?
test-492010	What will the impact factor of Nature Plant be in 2017?
test-492011	How do I calculate the impact factor?
test-492012	Will a Surface Tablet run any Windows Program?
test-492013	Should I take the TestAS to apply to German Universities?
test-492014	Is it safe to drink tap water in Canada?
test-492015	Is chicago tap water safe to drink?
test-492016	What are some strange facts about some popular Bollywood actors?
test-492017	What are some strange facts about Bollywood actors?
test-492018	Which community follows cricket in Kenya?
test-492019	How many mechanical turkers are there in UK?
test-492020	Which are some of the best NIT and IIIT?
test-492021	Which is the best IIIT and why?
test-492022	What is the average salary MBA full time hires receive at Google after business school?
test-492023	Could I join Google full-time right after my internship?
test-492024	What is the best budget hotels in Kodaikanal for accommodation of me and my friends in this coming New Year eve in peak season?
test-492025	What is the best budget hotels in Jaipur for accommodation of me and my friends in this coming New Year eve in peak season?
test-492026	Is it difficult to go back to Amazon after quitting?
test-492027	Should I quit my MBA and go back to my old job?
test-492028	Should my counselor send my transcript to every college or he send one transcript to Common app and they send it to all the colleges?
test-492029	What are official college transcripts?
test-492030	"My 11-yo daughter wants to read ""Black Butler"", ""Tokyo Ghoul"" and ""Death Note"". Should I worry about the dark fantasy genre of these mangas?"
test-492031	Why is Tokyo Ghoul considered a bad anime?
test-492032	What is the Cause of non cardiac chest pain?
test-492033	How are anxiety chest pains compared to something life-threatening, such as chest pain caused by esophageal cancer?
test-492034	Is everyone a bit narcissistic?
test-492035	Is everyone narcissistic?
test-492036	Why do you have a Bitcoin Ledger wallet?
test-492037	How can I make multiple Bitcoin addresses point to one Wallet?
test-492038	What is the best antivirus for an Android phone having just 1GB ram?
test-492039	Do Android phones need antivirus? If so, will it make the device slow?
test-492040	How is the book of M k Pandey's analytical reasoning book?
test-492041	What is the best book for reasoning?
test-492042	35 mm zoom is how much optical zoom in x?
test-492043	If I bought a camera with 60x zoom and a lens with 10x zoom would I get 600x zoom?
test-492044	How can I learn English speaking?
test-492045	How do I speak English like celebrities?
test-492046	What is the best movie you've ever watched?
test-492047	What's the best movie scene you have ever watched?
test-492048	What does 99 proof mean when referred to liquors?
test-492049	What would turn liquor blue?
test-492050	Why directors are lauded for films and writers for TV shows?
test-492051	If you learn to play on an acoustic guitar, do you need to relearn to play guitar when you buy an electric guitar? What are the differences?
test-492052	How do I earn money in online?
test-492053	How can I earn money online, seriously?
test-492054	Why is the Ravenclaw animal an eagle, and not a raven?
test-492055	In Harry Potter, is there any way to prove that you are a true Hufflepuff or Ravenclaw -- analogous to pulling Godric Gryffindor's sword from the Sorting Hat?
test-492056	Are there any nations in the world who still follow regressive taxation?
test-492057	In what ways is the US government following in the footsteps of Argentina who was one of the top ten wealthiest nations in the world by 1913?
test-492058	Startup and Private Valuations: Which of ROI or ROE is more important for an equity investor when deciding whether or not to invest in a company?
test-492059	How do I decide the percentage of equity to provide in exchange for an investment? And how do I justify the value of the company to achieve that?
test-492060	Why do I fall asleep in office?
test-492061	Why do we fall asleep?
test-492062	Free iTunes cards?
test-492063	Q? I've exactly 4 months to prepare for CLAT in which I've to give my boards too. Is it possible to prepare for it without coaching?
test-492064	Which is better cse at amity noida or IT at Manipal university jaipur?
test-492065	What is a bank PO?
test-492066	How can I motivate myself to learn a new language?
test-492067	How can I learn any new language quickly?
test-492068	What is the difference between Wellbutrin and Adderall?
test-492069	What is the difference between Wellbutrin and other antidepressants?
test-492070	What are the best budget hotel in Bali?
test-492071	I want to become a design enginner, aftr b.tech, where to start?
test-492072	Which is harder: math or physics?
test-492073	Which is more abstract and more difficult: pure math or theoretical physics?
test-492074	How will the ammount of notes 500 and 2000 that goverment will print?
test-492075	Are blood vessels connected from the liver to the limbs?
test-492076	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?
test-492077	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Japan for the first time?
test-492078	What are some pictures that show that life is fair?
test-492079	What are some pictures that show that life is unfair?
test-492080	How do mind reading acts work?
test-492081	Can the devil read our minds?
test-492082	On what factors does laying of concrete over a structure depend upon?
test-492083	Why is Dodge discontinuing the Viper?
test-492084	Which correspondence course is better for civil branch, IES Master or IES Made Easy?
test-492085	Which correspondence course is better for Civil Engg. branch, IES Master or IES Made Easy or Ace Academy?
test-492086	How do I increase my penis?
test-492087	How do I increase the size of panis?
test-492088	How is the word 'opinionated' used in a sentence?
test-492089	How is the word 'inarticulate' used in a sentence?
test-492090	How can I get admission into IISc Bangalore?
test-492091	Can I get admission in IISc Bangalore PhD after completing my M.Tech?
test-492092	How are handicapped parking spaces at Walt Disney World labeled?
test-492093	Are handicapped parking spaces easy to find at Walt Disney World?
test-492094	How do you get a free PSN generator with no surveys?
test-492095	How can I get free gift cards without surveys?
test-492096	What may be the suitable career for perfectionists?
test-492097	What kind of career would be suitable for me?
test-492098	How can I earn money online?
test-492099	How do you earn money through internet?
test-492100	What is OMR software?
test-492101	How is life in Siruseri area, OMR?
test-492102	Can I request an Uber online or do I need the app?
test-492103	How do uber drivers accept a request? Is it always whoever is closest?
test-492104	How do I create a TOR button in Chrome?
test-492105	Is Tor network compromised by governments across the world? Is it really safe, since most Tor nodes in the US are already under surveillance?
test-492106	What causes intercultural conflict?
test-492107	What are the causes of conflict in families?
test-492108	I want to buy one car and employ it under Ola/Uber/fast track. Is this profitable business?
test-492109	Is it profitable to attach a Car on Ola or Uber as of 22 November 2016?
test-492110	What is endothermic reaction?
test-492111	What is an endothermic reaction?
test-492112	What is the current issue being debated about the American economy?
test-492113	Why am I sad that I’m not at home at Christmas?
test-492114	How can one become more tolerant?
test-492115	How do I become more tolerant of pain in running?
test-492116	My direct message in Instagram has been blocked? When can I send messages again? And how?
test-492117	How do I know if someone blocked my texts?
test-492118	What should I get as a baby shower present?
test-492119	What should I bring for a baby shower?
test-492120	What is the value of 'PI'?
test-492121	What the value of pi?
test-492122	How do zinc and copper nitrate react together?
test-492123	What is the reaction between zinc and copper sulfate?
test-492124	How can I grow facial hair faster?
test-492125	What are the best ways to grow facial hair faster?
test-492126	How do you treat a ruptured blood vessel?
test-492127	How do I treat a broken blood vessel in my eye?
test-492128	What should be my schedule for JEE 2017 preparation?
test-492129	What should be my study schedule for JEE 2016 from now on?
test-492130	How much speed does a bullet lose when fired into water?
test-492131	Has anyone been hit with a bullet fired upwards?
test-492132	Why did Donald Trump win the 2016 Presidential election?
test-492133	How did Donald Trump win the 2016 Presidential Election?
test-492134	Can the smell of petrol, diesel or other fuels be harmful to human health?
test-492135	Which type of engine uses maximum air fuel ratio?
test-492136	What are the movies one should see?
test-492137	What are the must watch movies to see before you die?
test-492138	What is like to be gay in Italy?
test-492139	Why Italy is g7?
test-492140	What is a rubber sucker?
test-492141	What is it like painting on rubber?
test-492142	What is faster (more optimized) in PHP? OOP or not?
test-492143	Php oop tutorials for all levels web sites and books
test-492144	Could 1 person live on £35,000 a year in london?
test-492145	What is the average cost of living in East London for 1 person?
test-492146	How would you use the word 'compelling' in a sentence?
test-492147	How would you use the word 'homographs' in a sentence?
test-492148	How do I draft a mail for salary process changing in company to employees?
test-492149	Was Sattviko founded by IITR alums?
test-492150	What are the best laptops in India at around Rs 25k?
test-492151	What are the best laptops under 25k?
test-492152	What is the best book for the preparation of SSC CGL exam?
test-492153	What are some of the best books for SSC CGL?
test-492154	How do I get a job in ARAI?
test-492155	How do I get a job in kolkata?
test-492156	After how many spam reports your IP lands on the blacklist?
test-492157	Should I take up a pure programming/ developer job after graduating as a average fresher student from IIM Ahmedabad to eventually make Tech products?
test-492158	Words: Is there a word for someone who loves dancing?
test-492159	Can someone who is beat deaf be able to dance well?
test-492160	What is an IL?
test-492161	What is IL?
test-492162	How do you handle being alone and lonely?
test-492163	I am feeling lonely and depressed. I am living alone, go to work alone, and rent a house alone. What should I do about this situation?
test-492164	My Android phone is stolen by theif.when they change its Imei and Device ID then I trace them?
test-492165	Are relationships (intimate or platonic) between Jews and Arabs common in the modern day Middle East?
test-492166	How do you keep yourself motivated daily?
test-492167	How do you keep yourself motivated to learn everyday?
test-492168	What are the best ways to become the best at whatever you do?
test-492169	How do you become an authority of something?
test-492170	Why is it a bad practice to use a C/C++ macros?
test-492171	"In C++, is it a good practice to use ""using directives""?"
test-492172	How do I run Mac OS X on Windows 8?
test-492173	Does Docker run on Mac OS X or Windows?
test-492174	What are some examples of ethical dilemmas in health and social care?
test-492175	What are some of the toughest ethical dilemmas a doctor might face and how would you tackle said dilemma?
test-492176	What are some economic incentives for space exploration?
test-492177	What are the benefits of space exploration?
test-492178	"What does the Spanish word ""porque"" mean in English? How is it used in a sentence?"
test-492179	"What is the English meaning of the Spanish word ""gusta"", and how do you use it in a sentence?"
test-492180	Which is the Best air conditioner brand in India with less energy consumption & high cooling?
test-492181	Which is the best air conditioner brand in India in terms of durability and after sale services?
test-492182	How do I find a group on WhatsApp?
test-492183	What are polite ways to exit a WhatsApp group?
test-492184	Will middle class people be able to buy flats in Bangalore (Koramangala, BTM, HSR, etc.) when the prices are so high?
test-492185	Indian Real Estate Forums: How do I buy a 2BHK flat in Bangalore within 40 L?
test-492186	Who are the best Singaporeans to follow on Quora?
test-492187	Who are some notable people on Quora worth following?
test-492188	How can I earn $10,000 per 50,000 views on YouTube?
test-492189	How can one earn $10,000/month from YouTube without filming?
test-492190	"Why do we not invest in ""perpetual motion"" machines?"
test-492191	What is a perpetual motion machine?
test-492192	What is the best answer for why should we hire you?
test-492193	"What is the best answer in interview for ""why should I hire you? ""?"
test-492194	Is there any other platform like Quora?
test-492195	What are the similar website to Quora?
test-492196	Who is the greatest superhero actor?
test-492197	Who is the greatest superhero? Why?
test-492198	What is your most viewed Quora question?
test-492199	What is the most viewed question on Quora? What is the most answered question?
test-492200	Why shouldn't I be an atheist?
test-492201	Why can't I be an atheist?
test-492202	Are Real Madrid and Barcelona government-funded teams?
test-492203	What's the better team Real Madrid or Bayern Munich? Not only in present time all time
test-492204	Is it better to be a Chinese in the Philippines than in Indonesia?
test-492205	Why is there anti-Chinese sentiment in the Philippines?
test-492206	Should State Department revoke Hillary Clinton security clearance?
test-492207	Does Hillary Clinton as a presidential candidate have security clearance?
test-492208	What type of questions are asked in the IAS exam?
test-492209	Which type question asked in IAS exam?
test-492210	Where can I get sample papers on the Coal India Management Trainee, IT subject?
test-492211	Coal India mentions basic of 20600-46500 in E2 grade for recruitment of management trainees. What will be the gross and net on a monthly basis?
test-492212	Why don't animals menstruate?
test-492213	What is the evolutionary benefit or purpose of having periods?
test-492214	What is normalization? How to identify 1NF, 2NF, 3NF and BCNF?
test-492215	What is Boyce-Codd Normal Form?
test-492216	What health insurance options, if any, do I have if I bring my father, with stage 4 lung cancer, to live with me in the US temporarily (on a B2 visa)?
test-492217	Is it better to suppress feelings in the moment?
test-492218	What does female orgasm feel like?
test-492219	What does a female orgasm feel like?
test-492220	Are herbal cigarettes safe for acting?
test-492221	Where can I buy herbal cigarettes in Delhi?
test-492222	What is the range of the function f(x) =x^2-x-6?
test-492223	How can I find the domain and range of the function [math]f(x)=\sqrt{x^2-2x+5}[/math]?
test-492224	How does an acid and an alkali differ?
